split,epoch,version,samples,accuracy,loss,step1_mean,step1_zero_fraction,step1_inactive_neurons,step2_mean,step2_zero_fraction,step2_inactive_neurons,step3_mean,step3_zero_fraction,step3_inactive_neurons
train,27,297,704,0.9573863636363636,0.24477618932724,0.23575589060783386,0.1901278409090909,1,0.6017708778381348,0.3320880681818182,5,2.258680820465088,0.08732954545454545,3
train,28,308,704,0.9602272727272727,0.21762897074222565,0.24136002361774445,0.19302556818181818,1,0.6246351003646851,0.3344602272727273,4,2.3886258602142334,0.08725852272727273,2
train,29,319,704,0.9602272727272727,0.19091369211673737,0.2474270612001419,0.19508522727272729,0,0.6352711915969849,0.3470170454545455,5,2.428812265396118,0.09116477272727273,2
train,30,330,704,0.9673295454545454,0.1686585545539856,0.25327467918395996,0.195,1,0.66524738073349,0.3452840909090909,5,2.5801002979278564,0.09176136363636364,2
train,31,341,704,0.9701704545454546,0.1536175161600113,0.2585161030292511,0.19649147727272728,1,0.6788732409477234,0.3513778409090909,5,2.6220204830169678,0.09467329545454546,3
train,32,352,704,0.9730113636363636,0.13887180387973785,0.2629542052745819,0.19444602272727274,1,0.6957173347473145,0.3545028409090909,3,2.7036774158477783,0.09356534090909091,2
train,33,363,704,0.9630681818181818,0.1401839405298233,0.26635366678237915,0.19823863636363637,1,0.7300618886947632,0.34363636363636363,3,2.883185625076294,0.09198863636363637,2
train,34,374,704,0.96875,0.11864367127418518,0.2697700262069702,0.20082386363636365,1,0.7367814779281616,0.3524573863636364,3,2.905682325363159,0.0944034090909091,2
train,35,385,704,0.9801136363636364,0.1045168936252594,0.2734213173389435,0.19961647727272727,1,0.756646990776062,0.35055397727272725,3,2.9775874614715576,0.09717329545454545,2
train,36,396,704,0.9815340909090909,0.0953906700015068,0.276758074760437,0.20041193181818182,1,0.7703776955604553,0.3509375,3,3.044475555419922,0.09744318181818182,2
