split,index,root_id,role,active_fraction,mean,eta_squared,class0_mean,class1_mean,class2_mean
validation,53,720575940631704716,internal,0.11486486486486487,0.026476602372084115,0.09285384679403862,0.0,0.062295833716587146,0.017674312223585283
validation,54,720575940622457443,internal,0.8040540540540541,0.8486467135214323,0.10869077460359035,0.43714600056409836,1.117002122104168,1.0001899916298536
validation,55,720575940619061662,internal,0.777027027027027,1.585461960249656,0.09748602639957053,1.2616229331493378,2.275497684369282,1.2258742229670894
validation,56,720575940640955637,internal,0.28378378378378377,0.19963183777557836,0.3307782553028226,0.05305977642536163,0.0,0.5488270034595412
validation,57,720575940635249332,internal,1.0,11.621989017402804,0.3158511711113198,8.928943500518798,16.17139754003408,9.820586124245
validation,58,720575940634949311,internal,1.0,8.818486828256297,0.27735295955154154,6.529885864257812,11.742899943371208,8.22938081926229
validation,59,720575940625585508,internal,1.0,12.849515189995637,0.4579190523680872,8.894828014373779,19.14508953872992,10.589335918426514
validation,60,720575940618112310,internal,0.6621621621621622,0.8278366291543117,0.15182904883944828,0.6721441459655761,0.548607158569657,1.2659359805437984
validation,61,720575940612347571,internal,1.0,6.052676188683993,0.15674078136608366,5.095110373497009,7.751914335756886,5.330546016291696
validation,62,720575940626378242,internal,1.0,4.854343249185665,0.10392472036241793,5.074497156143188,5.385768515723092,4.098271138814031
validation,63,720575940631526215,internal,1.0,20.017815859736622,0.4746203416139859,13.546459646224976,32.09009699918786,14.548959427950333
validation,64,720575940640541091,internal,0.9864864864864865,6.403619998008819,0.034072169061909824,6.175694890022278,7.28435245034646,5.755464186473769
validation,65,720575940624706062,internal,1.0,5.154532164536618,0.44146050774468315,4.102713794708252,7.92274893546591,3.4595994444525973
validation,66,720575940610161091,internal,1.0,6.8377836163382275,0.0834606391864354,6.546984939575196,8.18416784734142,5.788132728970781
validation,67,720575940648633988,internal,1.0,6.747225137377107,0.18383751856087155,5.542402687072754,8.73524243004468,5.9886185082854055
validation,68,720575940631603281,internal,1.0,10.432504233073544,0.36721662809132993,8.082979497909546,14.796619259581274,8.465863426120913
validation,69,720575940633772452,internal,1.0,8.810669509945688,0.42978982640600877,6.253194551467896,13.39608435728112,6.834922987587598
validation,70,720575940621500865,internal,1.0,5.2207986241256865,0.08523297847969297,5.017315678596496,6.098711675527144,4.550521231427485
validation,71,720575940640314190,internal,0.8513513513513513,2.761280078340221,0.0555876312265463,2.3265030765533448,2.5842777685243257,3.3819323899794598
validation,72,720575940623137997,internal,1.0,10.645038814963522,0.39361431546045184,7.908890504837036,15.706485067095075,8.375580634389605
validation,73,720575940660217729,internal,0.7432432432432432,0.9324569350007821,0.11616108634371437,0.6295472621172666,0.8071731502304271,1.3668322227134997
validation,74,720575940632007983,internal,0.9391891891891891,4.901741106767912,0.10100289621304906,5.039842429161072,6.04935850415911,3.6132039926490007
validation,75,720575940622338742,internal,1.0,8.5478536655774,0.27213900574174227,6.716029992103577,11.519239824645373,7.445675336584753
validation,76,720575940615708482,internal,1.0,7.012943815641306,0.2654978376115067,5.5059391260147095,9.67472284667346,5.888924671983232
validation,77,720575940626342174,internal,1.0,6.026731250656618,0.1350521575077769,4.9739728975296025,7.38562949336305,5.742076225426732
validation,78,720575940616908177,internal,1.0,7.6511550937351345,0.3175038934731852,6.034009280204773,10.842916323214162,6.109542653572802
validation,79,720575940623792648,internal,1.0,8.525423370503091,0.4570029391900203,5.612575721740723,13.30434464435188,6.718795615799573
validation,80,720575940614326162,internal,1.0,17.399187724332553,0.46965759928741996,11.869814109802245,28.13957992865115,12.301013494024472
validation,81,720575940606385440,internal,0.6756756756756757,0.6853128439067183,0.03137540829090309,0.8235254448652267,0.6968266386158612,0.5327657829133832
validation,82,720575940624879911,internal,1.0,10.089722920913953,0.48176457924276644,6.394177131652832,15.728780960550113,8.221629972360573
validation,83,720575940631538028,internal,1.0,14.985593533193743,0.45122677433055436,10.568148336410523,23.368006025041854,11.110778180920349
validation,84,720575940628573519,internal,1.0,9.399125053874544,0.34776108791366744,7.724782838821411,13.518665586199079,6.988096985889941
validation,85,720575940604352172,internal,1.0,5.996510253564732,0.41039712461632716,4.02350172996521,9.10766688171698,4.898627629085463
validation,86,720575940618458513,internal,1.0,9.531310202704894,0.4575200497861256,6.499836306571961,15.078487084836375,7.077474030913139
validation,87,720575940614756589,internal,0.9459459459459459,4.309429417993571,0.09007761167913632,4.707209339141846,5.043888156511346,3.1690728007530677
validation,88,720575940630340474,internal,0.4391891891891892,0.44937837833689676,0.09966855863643308,0.12341158777475357,0.7801841427477039,0.45119178796909293
